id,俄语
41,"Не удалось добавить в друзя, повторите попытку позже"
42,Успешно удалили этого друга
43,Вы не можете загрузить сохраненную карту в игре. Повторите попытку в главном меню
44,Поблизости нет друзей. Повторите попытку позже
45,Введите имя персонажа (Можно использовать цифры. буквы или китайские иероглифы)
46,Имя персонажа уже существует (Нажмите для введения)
47,Высокие настройки
48,Средние настройки
49,Низкие настройки
50,Вид от 3-го лица
51,Вид спереди
52,Вид от 1-го лица
53,Обзор (далеко)
54,Обзор (средне)
55,Обзор (близко)
56,Ящик для хранения заполнен!
57,Баллы за задание
58,Нет
59,приключение
60,создание
61,нужно @1
62,создал @1×@2
63,Удалить друга
64,@1 стал твоим другом
65,Покинул интерфейс зачаровывания
66,Недостаточно звезд для зачаровывания
67,Еще нет свойств зачаровывания
68,Случайное свойство зачаровывания
69,Этот предмет зачарован
70,После слияния вспомогательный предмет исчезнет
71,Поместите вспомогательный предмет
72,"Выберите предмет, который хотите зачаровать"
73,Звезды
74,Мини монеты
75,Доступный для зачарования
76,Доступные основные предметы
77,Доступные вспомогательные предметы
78,Нет подходящих свойств
79,@1 успешно зачарован
80,Поместите предмет для зачаровывания
81,Перемещен из интерфейса зачаровывания в рюкзак
82,"Собирайте ресурсы, создавайте инструменты, убежища и исследуйте мир"
83,"У вас есть бесконечные ресурсы, чтобы соорудить все, что вам нравится"
84,Создайте новое сохранение\n Начните свое приключение прямо сейчас
85,У Вас еще нет нового сохранения. #cfa7a0fСоздайте#n один
86,Вот еще карты для #cfa7a0fзагрузки!#n
87,"Новичок в игре? Мы рекомендуем пройти обучение, чтобы узнать о базовых принципах геймплея"
88,Выберите персонажа\n Создайте своего персонажа
89,Выберите персонажа
90,"Обучение еще не закончено, продолжить?"
91,"Если вы новичок, рекомендуем вам поиграть на #c0aaa1aкарте обучения (Рекомендуем)#n"
92,Карта обучения
93,Прибытие в: Подземный мир
94,Прибытие в: Наземный мир
95,Вы проиграли битву с @other
96,@self не забывай следить за потреблением кислорода во время плавания
97,@self держитесь подальше от предметов с высокой температурой
98,Места на возвышенностях полны опасностей! Глядите в оба!
99,Вам нужен скафандр
100,Берегись кактуса!
101,С такой удачей Вам можно смело покупать лотерейный билет
102,"Вы отравлены. Выпейте немного свежего молока, чтобы вылечиться"
103,@self увял как цветок
104,Вы находитесь в режиме бега
105,Вы находитесь в режиме скрытности
106,Заходите скорее в мою комнату приключений! Мы с друзьями ждем Вас!
107,Эта комната приключений просто отпад! Не могу остановиться
108,Кто хочет посетить мою комнату приключений?
109,Давай дружить! Заходи в мою комнату приключений прямо сейчас!
110,Кто поможет мне собрать руды? Заходи в мою комнату приключений прямо сейчас!
111,Заходи в мою комнату творчества прямо сейчас! Здесь весело!
112,Заходи в мою комнату творчества прямо сейчас! Затусим!
113,Я потратил(а) много сил на создание этой комнаты творчества! Приглашаю всех в гости!
114,Моя комната творчества уже заждалась тебя!
115,В моей комнате творчества большой дом. Заходи посмотреть!
116,Полнолуние. Это особая ночь...
117,Лунное затмение. Это особая ночь...
118,"Здесь так много вкуснятины. Что Вам нужно? Может быть, Вы сможете отправиться на поиски моих братьев и сестер в пустыню и на ледяное поле."
119,Я вырос в пустыне. Я хочу превратить свой родной город в оазис!
120,На ледяном поле холодно. Мне нужно много ресурсов. Не могли бы Вы дать мне немного?
121,"Есть чувствительные слова. Пожалуйста, введите заново"
122,Это ящик хранения хоста. Вы не можете его открыть
123,Введите новое имя
124,Нужно потратить
125,В сохранениях нельзя изменить имя
126,Поздравляем! Имя успешно изменено на
127,Не удалось изменить имя. Проверьте интернет-соединение и повторите попытку
128,Приобретенные предметы будут отправлены на Склад в левом нижнем углу
129,"В сохранении нажмите на предмет, чтобы положить его в рюкзак"
130,Только хост может извлекать и использовать предметы этого типа
131,Успешно куплено. Войдите на Склад в левом нижнем углу для просмотра
132,Успешно извлечено. Просмотрите в рюкзаке
133,Очки экстремальных приключений:
134,Вас выгнал хост из этой комнаты
135,Не удалось установить соединение. Хост закрыл многопользовательскую комнату
136,Комната закрыта
137,"Нельзя войти. Не удалось скачать карту или карта повреждена (Сделайте резервную копию перед тем, как делиться)"
138,Уровень активности:
139,Достижения разблокированы:
140,Информация
141,Аватар
142,Использование
143,Разблокировать
144,Введите UID автора
145,Введите UID
146,Плохое сетевое подключение. Повторите попытку позже
147,Выберите категорию
148,Обычный
149,Хороший
150,Отличный
151,"Все хосты, на которых Вы подписаны, сейчас отдыхают..."
152,"Извините, обновите список карт и повторите попытку."
153,Название
154,Количество игроков
155,Тип
156,Описание
157,Обновить сейчас
158,"Версия игры слишком старая. Пожалуйста, обновите"
159,"Эта сохраненная карта не может быть скачена для восстановления, так как ее не расшарили"
160,"Вам нужно повторно скачать это сохранение, начать скачивание?"
161,"Нестабильный интернет, загрузка/скачивание приостановлена. Проверьте сеть и повторите попытку"
162,"Вы не подписались на карту. Скорее посмотрите, чем поделились другие игроки"
163,"После входа в игру, данные сохранения будут конвертированы. Это займет несколько минут, пожалуйста, не выходите из игры."
164,"Комната, в которую входили в последний раз"
165,Обнаружен чит. Последствия очень серьезны.
166,Заголовок
167,Тег
168,Тип
169,Введение
170,Видно всем
171,Видно только себе
172,"Хорошее введение привлечет больше игроков\n (Нажмите для ввода, макс. 60 символов)"
173,Расшарить обновление
174,Мои подписки
175,Введите UID
176,Мои шеринги
177,Назад
178,Этот ленивый человек ничего не написал.
179,"Если Вам нравится эта карта. Пожалуйста, оцените ее!"
180,ОК
181,Имя сохранения не может быть пустым
182,Умение маунта
183,Инкубационный период
184,Обложка сохранения
185,Получить
186,Использовать
187,Улучшить
188,Вы не расшарили ни одно сохранение
189,У этого игрока нет расшаренных карт
190,Ранжирование по умолчанию
191,Рекомендуемый!
192,Рейтинг
193,Популярное недели
194,Новейший
195,Ранжирование
196,Активировать
197,Созреть сейчас
198,Собрать
199,"Люди, которые помогли вам:"
200,Растение в #c0aba1dбодром#n состоянии
201,Растение в состоянии #cffda0aнехватки воды#n
202,Растение в состоянии #cff3d2bистощения#n
203,Возможно получить:
204,До созревания:
205,(Созреть сейчас)
206,Начать расти
207,Посетить Дома друзей
208,Табло
209,Друзья
210,Подписчики
211,Аватар
212,Имя
213,Победить
214,Добавить в друзья
215,Маунт
216,(Предварительный просмотр)
217,Ожидание респауна
218,"Переключение Пользователя, Пожалуйста, обратите внимание:#r1.Не забудьте загрузить важные файлы сохранения, чтобы предотвратить потери#r2. Если вас уведомили об ошибке пароля, попробуйте переключиться и снова войти в систему"
219,"Нестабильный интернет, комната закрыта"
220,Закрытие комнаты выкинет из нее всех игроков
221,Выход из игры выкинет из нее всех игроков
222,Начало игры: 3
223,Начало игры: 2
224,Начало игры: 1
225,Старт!
226,Ясно
227,Восстановить по умолчанию
228,Системные оповещения
229,@self нанес @other тяжелый удар!
230,Атака @self метко попала в @other!
231,"@self ""дружески"" отправил @other в респаун!"
232,@self нанес двойной удар!
233,@self нанес тройной удар!
234,@self так крут!
235,@self нельзя остановить!
236,@self доминирует!
237,@self ведет команду к победе!
238,@self разбушевался! Кто сможет его остановить?
239,@self богоподобен!
240,@self Превзошел богов! Кто же положит ему конец?
241,Обновление версии
242,Пока нет уведомлений
243,@self положил конец тройному удару @other!
244,@self положил конец везению @other!
245,@self положил конец неудержимого состояния @other!
246,@self положил конец доминирования @other в игре!
247,@self положил конец пути @other к превосхождению богов!
248,@self положил конец безумию @other!
249,@self положил конец богоподобного состояния @other!
250,@self положил конец состояния превосхождению богов @other!
251,Ваш текущий маунт готов вызвать детеныша маунта прямо сейчас!
252,Детеныш маунта может вылупиться только после @num дней в игре
253,В текущем состоянии нельзя сесть
254,"Слишком далеко, нельзя сесть"
255,Бродячий торговец
256,(Товары обновлены)
257,Добро пожаловать! Чем могу помочь?\n
258,Уйти после
259,Оставшееся количество:
260,Продано
261,Бродячий торговец
262,Бродячий торговец ушел
263,План
264,"Хо хо хо, чего Вы хотите?"
265,Запас
266,Пополнение не удалось. Повторите попытку позже
267,Версия слишко устарела. Этот скин может правильно отображаться после обновления
268,Использование возможно после разблокировки Главная - Мой Дом - Архив. Фрагменты можно получить Дома или в событиях.
269,"Недостаточно места для сохранения, архив не может сохраниться. Очистите место и попробуйте снова"
270,Победа
271,Поражение
272,Ничья
273,Код активации
274,Код активации подарочного набора
275,Активировано!
276,Проверить награду в торговом центре
277,"нажмите ""Упаковать"""
278,@Null@
279,Введите код активации подарочного набора
280,0
281,Введите код активации!
282,"Нестабильный интернет, проверьте соединение"
283,Код активации уже использован. Нельзя получать подарки повторно
284,Неправильный код активации
285,Поздравляем! Вы активировали подарочный набор
286,Настабильный интернет/неверная платформа/уже получали такой же подарок
287,Зажмите
288,"Нажми на землю, чтобы расположить ящик инструментов!"
289,Мои сохранения
290,Онлайн
291,Частое
292,Здания
293,Механическое оборудование
294,Рюкзак
295,Инструменты
296,Сельскохозяйственная культура
297,Разное
298,Блоки
299,Редактировать
300,Не хватает #cfa7a0fдосок#n. Соберите древесину и сделайте несколько
301,"Сначала выберите иконку #cfa7a0fящика для инструментов#n, затем нажмите кнопку #cfa7a0fСоздать#n справа"
302,Не хватает материала для создания #cfa7a0f деревянной кирки #n. Срубите еще деревья и получите #cfa7a0f древесину #n
303,"Выберите #cfa7a0fдеревянную кирку#n, затем нажмите кнопку #cfa7a0fСоздать#n справа"
304,Добро пожаловать в Мини мир. Давайте #cfa7a0f начнем наше приключение #n сначала. #cfa7a0f Нажмите на #n экран для начала
305,"#cfa7a0f Проведите пальцем по экрану #n влево или вправо, чтобы смотреть вперед"
306,"#cfa7a0f Проведите пальцем#n по джойстику, чтобы #cfa7a0f передвигаться #n. Попробуйте идти вперед"
307,"#cfa7a0f Зажмите куб #n (Куда показывает стрелка), чтобы начать #cfa7a0f разрушить куб #n"
308,"Отлично! Все блоки могут быть повреждены и собраны. Нажмите, чтобы #cfa7a0fполучить#n награду"
309,"Идите за стрелкой и найдите дерево. #cfa7a0fЗажмите#n блоки дерева (палецем), чтобы получить #cfa7a0fдревесину#n"
310,"Отлично! Используйте топор, чтобы срубить дерево. Таким образом можно получить #cfa7a0fдревесину#n быстрее"
311,Теперь откройте #cfa7a0fрюкзак#n и используя #cfa7a0fдоску#n создайте 1 #cfa7a0fящик для инструментов#n
312,"Нажмите, чтобы #cfa7a0fсоздать #n ярлык"
313,#cfa7a0fЯщик для инструментов#n может помочь тебе создавать разные крутые предметы. Это очень важно для Ваших приключений
314,Помести новый #cfa7a0fящик для инструментов#n в #cfa7a0fпанель быстрого доступа#n и выберите его
315,"Нажмите на землю, чтобы расположить #cfa7a0fящик для инструментов#n"
316,"#cfa7a0fНажмите#n, чтобы открыть ящик для инструментов (пальцем)"
317,Предмет создан успешно. С помощью #cfa7a0fдеревянной кирки#n можно добывать руды низкого уровня
318,Нажмите на #cfa7a0fхлеб#n (помещен на панели быстрого доступа) и появится #cfa7a0fкнопка Использовать#n
319,"#cfa7a0fЗажмите#n #cfa7a0fкнопку Использовать#n справа, чтобы съесть хлеб"
320,#cfa7a0f кнопка Использовать#n появляется только при выборе возможно используемых предметов на панели быстрого доступа
321,"Давайте узнаем, как надеть #cfa7a0f шлем #n, который вы только что получили. Сначала откройте рюкзак"
322,Нажмите на ярлык #cfa7a0f Снаряжение #n
323,"Нажмите на #cfa7a0f шлем #n, чтобы надеть его"
324,Описание и свойства #cfa7a0f шлема #n появились здесь. Нажмите кнопку #cfa7a0f Надеть #n
325,"Супер! Это так просто, да? Теперь давайте пойдем проучим #cfa7a0fмонстров#n! Нажмите на #cfa7a0f×#n в левом верхнем углу и закройте интерфейс"
326,"Осторожно! К тебе приближается монстр, #cfa7a0f Проведите пальцем по экрану #n влево или вправо, чтобы повернуться лицом к монстру. #cfa7a0fНажмите#n на монстра, чтобы атаковать"
327,"Поздравляем! Вы завершиле обучение новичка\nВас ждет много интересного, начните свое приключение!"
328,Название:
329,Текущая миссия: #cfa7a0fОзнакомиться с управлением#n
330,Текущая миссия: Срубить деревья и собрать #cfa7a0f дрова#n
331,Текущая миссия: Создать #cfa7a0fящик для инструментов#n
332,Текущая миссия: Создать #cfa7a0fдеревянную кирку#n
333,Текущая миссия: Съесть немного #cfa7a0f хлеба #n
334,Текущая миссия: Победить #cfa7a0fмонстра#n
335,"Есть обновления для текущей карты. Пожалуйста, скачайте последнюю версию"
336,Запасный
337,Запасный
338,Запасный
339,Обслуживание системы! Временно нельзя расшаривать карты
340,"Нужно больше игроков, чтобы начать игру"
341,@Null@
342,Уровень Дома не достиг 2. Расшаренные карты видны только Вам.
343,Аккаунт был создан менее 7 дней назад. Расшаренные карты видны только вам
344,Эта карта видна только вам. Нельзя расшарить
345,"Автор не открыл разрешение на скачивание, нельзя скачать"
346,@Null@
347,@Null@
348,@Null@
349,Facebook
350,Активный
351,Имя
352,Автор
353,"Не удалось войти, часть функций нельзя использовать"
354,"Идет обновление. Пожалуйста, подождите"
355,Запасный
356,Прямая трансляция
357,Нельзя переключаться между платформами
358,Имя содержит недопустимые символы
359,UID:
360,Текущее время:
361,Текущая версия:
362,Бесплатно
363,(Созрел)
364,(Урожай 1 шт.)
365,(Урожай 10 шт.!)
366,Уже в Доме этого друга!
367,@Null@
368,Вызвать маунта
369,Награждение отправлено на склад
370,Открыть еще раз
371,Открыть 10 раз
372,Мини бобы
373,Опыт
374,Умения персонажа:
375,Данный скин включает в себя следующие особые изменения
376,Недостататочное количество. Вы можете получить больше с помощью Домашних плодов
377,Недостататочное количество. Вы можете получить больше с помощью Домашних плодов
378,Рецепты крафта
379,Источник фрагментов:
380,Прогресс разблокирования
381,Подтвердить
382,Время получения детеныша маунта еще не пришло
383,Купить фейерверки (#c1b9e1eМини бобы#n в подарок)
384,"Этот друг еще не завел растение, попробуй навестить других"
385,"Не хватает Мини бобов, купите немного!"
386,"Сервер занят. Пожалуйста, перезагрузите игру и повторите попытку"
387,Вернуть все
388,Вернуть 1 шт.
389,Разблокировано
390,Использование возможно после разблокировки Главная - Мой Дом - Архив. Фрагменты можно получить Дома или в событиях.
391,Вы не можете вызвать детеныша маунта здесь!
392,Успешно получен детеныш маунта
393,"Успешно полит. Получен опыт х@1, Мини бобы х@2"
394,"Успешно поймал насекомых. Получен опыт х@1, Мини бобы х@2"
395,Дом
396,Добавьте больше друзей
397,"Зайдите в сохранение и нажмите на кнопку Маунта в правой части экрана, чтобы призвать его"
398,Ваше растение прекрасно себя чувствует!
399,Нажмите для просмотра правил использования Домашних плодов
400,Мини бобы:
401,Фрукты:
402,Полив:
403,Вы можете получить бонус только один раз -- в первый раз заведя растение
404,"Отметьтесь, помогите друзьям полить растения! Когда плоды созреют, есть шанс получить Мини бобы. В первый раз заведя растение, Вы получаете #c0aaa1aМини бобы*200#n в награду"
405,"Подождите пока плоды созреют естественным путем или ускорьте их рост с помощью Мини бобов. Зрелые фрукты принесут Вам фрагменты для разблокировки маунтов, персонажей, скинов и блоков."
406,"Не забывайте поливать растения, чтобы они росли быстрее. Помогая друзьям поливать растения, будет шанс получить Мини бобы и опыт в награду."
407,Я понял
408,Показать фрагменты
409,Количество наград на сегодня достигло верхнего предела
410,Неудобный инструмент
411,Хост настроил защиту. Гости могут поросить разрешение у хоста
412,Доступ
413,Свободно
414,Гость
415,Разрешено повреждать и размещать блоки\n (Можно отключить в игре)
416,Запрещено повреждать и размещать блоки\n (Можно разрешить во время игры)
417,Архив
418,Выживание
419,Создание
420,Борьба
421,Электроцепь
422,Головоломка
423,Паркур
424,Размер карты:
425,Количество скачиваний:
426,"Ваша версия игры устарела. Пожалуйста, обновите"
427,Общее
428,Обучение
429,Пропустить
430,Продолжить
431,Продолжить игру
432,Активировать
433,Повторить попытку
434,Продолжить скачивание
435,Купить
436,Активировать
437,Минуты
438,Награда за посещение
439,Можно ввести код мирового рельефа
440,Успешно прокомментировал!
441,"Защита в ближнем бою: @1, уменьшает урон от ближнего боя и взрыва на @2%"
442,Недоступно
443,Нельзя открыть дважды одновременно
444,[На очки защиты влияет соотношение текущей стойкости]
445,[Физический урон включает в себя ближний/дальний удар/взрыв]
446,Хотите выгнать #c0aaa1a@1#n из комнаты?
447,Выгнать из комнаты?
448,Не удалось выгнать!
449,Респаун через #cffda0a@1#n сек.
450,Показать статус
451,Хост запрещает этот предмет
452,Вы удачно потратили звезды
453,Недостаточно Мини монет. Купить #cfa7a0f@2 Мини монеты #n с #c0aaa1a$@1?#n
454,Долл. США
455,Мини монеты
456,Не достаточно Мини монет
457,Долл. США
458,Удачная покупка. Проверь Фейерверк радости и Мини бобы на Складе
459,Имеется:
460,Обменять
461,Выживание на дикой природе. Исследуйте неизвестный мир
462,"Создайте все, что только захотите"
463,Дополнительные настройки
464,"Ох, квесты в дикой природе всегда немного опасны..."
465,Неизвестное существо
466,"Тебе все же нужна #c0aaa1a звезда ×@1#n. Ты хочешь потратить #cfa7a0f Мини монеты×@2#n , чтобы доплатить разницу?"
467,Использовать
468,Пополнить?
469,Недостаточно звезд:
470,Респаун
471,Сброс всех предметов и возрождение на точке репауна
472,Продолжить
473,#c5aea0a1☆Респаун на месте без потери предметов#n
474,Поместить предметы в
475,Основные предметы
476,Вспомогательные предметы
477,Слияние
478,Это зачарование повысит данное свойство до @1 ур.
479,Уровень
480,"Более 5 атрибутов, нажми на Зачарование для выбора"
481,Этот атрибут не совместим с другими
482,Максимум можно выбрать
483,атрибуты
484,"После слияния, можно максимум оставить @1 атрибут, выберите:"
485,атрибуты. Выберите:
486,"Пожалуйста, выберите все @1 атрибуты"
487,Получено @1 шт. @2
488,шт.
489,"Поместите материалы, чтобы автоматически начать плавление"
490,Сначала заберите плавленные предметы
491,Поздравляем! Вы завершили обучение!
492,Получить
493,Новый
494,Максимальный уровень
495,Нельзя извлекать карточки 10 раз подряд без золотого плода
496,Фламас
497,Монумент Драконьей чешуи
498,Удалить из избранного
499,Добавлен в избранное
500,Выгнали @1 из комнаты
501,Выгнать из комнаты
502,раз
503,Можно обновить
504,Вы скачали это сохранение
505,Введите UID
506,Не удалось соединиться с сервером комнаты
507,"Нажмите кнопку справа, чтобы удалить сохранение"
508,Идет скачивание:
509,Ожидание начала скачивания
510,Приостановить скачивание:
511,Последний вход
512,Никогда не входил
513,Вчера
514,дней назад
515,Отменена загрузка данного сохранения
516,Входил
517,Введите примечания для карты
518,Исследование мира
519,Создание мира
520,Зайти
521,Отписаться
522,"Карты, которыми вы поделились с друзьями"
523,"Поделившись этой картой, вы получите"
524,По умолчанию
525,Аккаунт не существует
526,Аккаунт заморожен
527,Название аккаунта повторяется
528,Номер версии
529,Творчество
530,Время выживания (дней)
531,Время:
532,Координаты:
533,Высота:
534,Покупка в процессе
535,Получить
536,(Достаточно получено)
537,(Распродано)
538,Продать
539,Обменять
540,"Я забрал все товары, обновите"
541,"Я распродал все эти товары, обновите"
542,Удачно
543,Обменять
544,У Вас нет достаточно предметов для обмена
545,Успешная покупка
546,"Все товары обновлены, выбирайте"
547,Обновить
548,Расход
549,Полка
550,Нужно
551,Отслеживание заданий
552,@1 удачно отремонтирован!
553,Поместите предмет для ремонта
554,Поместите ремотные материалы
555,Недостаточно звезд
556,Не нужно ремонтировать
557,Стойкость:
558,часов
559,секунд
560,Время охлаждения кладки яиц
561,"Ваш маунт спит, подождите @1 сек."
562,Версия слишком устарела
563,"У Вас нет сохраненных карт, невозможно создать комнату"
564,Вы еще не добавляли игры в избранное
565,"Верхний предел достигнут, обновите"
566,Комната полна
567,Неверный пароль комнаты
568,Комната закрыта хостом
569,Больше нет комнат
570,Текущая сеть
571,Последняя версия
572,Версия клиента не совместима с версией комнаты
573,Не удалось соединиться с комнатой
574,Введите UID хоста
575,"Нажмите, чтобы создать игру"
576,Пока нет комнат
577,Результаты поиска
578,Обновить
579,Выберите сохранение для создания комнаты
580,Доступные теги
581,Пароль комнаты
582,Введите пароль комнаты
583,"Не удалось создать персонажа, проверьте интернет-соединение"
584,Базовые настройки
585,Настройки управления
586,Дополнительные настройки
587,Базовые
588,Управление
589,Продвинутые
590,Имя
591,Яркость экрана
592,Скрыть пользовательский интерфейс
593,Мирный режим
594,Музыка
595,Звуки
596,Громкость
597,Чувствительность
598,Инверсия по оси Y
599,Режим левши
600,Прицел
601,Автоматический прыжок
602,Вкл/выкл вибрацию
603,Больше игр
604,Успешное пополнение
605,"Для маунта @1 не хватает #c0aaa1a@2×@3, Вы можете использовать #cfa7a0f Мини монеты #n, чтобы доплатить разницу"
606,Для этого маунта не хватает
607,Вы также можете использовать
608,чтобы доплатить разницу
609,Недостаточно предметов
610,Купить Мини монеты?
611,Постоянный
612,Ограниченное по времени предложение: #cfa7a0f@1#n дн. #cfa7a0f@2#n ч. #cfa7a0f@3#n мин. осталось
613,"Покупка не удалась. Пожалуйста, проверьте соединение."
614,Отменить использование
615,@1 успешно использован
616,Способности
617,Обновление
618,включать
619,Повышение таланта
620,Использовано
621,"Для активации этой способности требуется еще один #c0aaa1a@1×@2#n. Вы можете использовать #f7770f@2 Мини монеты #n, чтобы доплатить разницу"
622,"Для повышения этого таланта требуется больше #c0aaa1a@1×@2#n, ты можешь использовать #cfa7a0f Мини монеты #n, чтобы доплатить разницу"
623,Необходимо
624,Ограничено по времени: #cfa7a0f@1#n дн. #cfa7a0f@2#n ч. #cfa7a0f@3#n мин. осталось
625,"Для повышения этой способности требуется еще #c0aaa1a@1×@2#n. Вы также можете использовать #cfa7a0f@2 Мини монеты #n, чтобы доплатить разницу"
626,Скидка
627,Успешная покупка
628,"Уверен, что забрал #cfa7a0f@1#n и положил в свой рюкзак?"
629,Требуется обновление
630,Поздравляем! Вы разблокировали @1
631,"Ошибка сети, невозможно совершить покупку"
632,Разблокировать новый маунт:
633,Улучшение маунта:
634,(Постоянный)
635,Время использования скина @1 продлилось на @2 дн.!
636,Версия слишком устарела
637,Активированный
638,отпереть
639,Купить сейчас
640,Разместить
641,Вложить
642,Извлечь
643,Снять
644,Имя по умолчанию
645,Не хватает фрагментов для разблокирования
646,Детали смотрите в Магазине
647,Уже в рюкзаке
648,Задача выполнена!
649,Получен предмет!
650,Поднял @1@2
651,Переместил @1 шт. @2
652,Сбросил @1@2
653,Награда за сбор коллекции:
654,Обратная связь
655,Обратная связь
656,Хотите отправить отзыв или скриншот? Отправь на адрес miniwantech@gmail.com
657,QQ
658,Номер мобильного телефона:
659,(Введите свой номер QQ)
660,(Введите свой номер мобильного телефона)
661,Подать
662,Количество подач на сегодня достигло верхнего предела
663,Введите отзыв для подачи
664,Отзыв успешно оставлен
665,Сейчас слишком много игроков оставляют отзывы. Повторите попытку позже
666,(Заблокированный)
667,Открыть:
668,Возвратить
669,Возвратить
670,"Для разблокировки этого предмета требуется больше #c0aaa1a@1×@2#n, Вы также можете использовать #cfa7a0f@3#n чтобы, доплатить разницу"
671,Награды получены!
672,Пользовательские правила
673,Пользовательский
674,-карта
675,Создать настройки карты
676,Восстановить по умолчанию
