id,马来语
106,Marilah masuk ke bilik pengembaraan saya! Kami sedang tunggu rakan anda!
107,Bilik pengembaraan ini sangat seronok!
108,Siapa yang mahu masuk ke bilik pengembaraan saya?
109,Jom kita jadi kawan! Datanglah ke bilik pengembaraan saya sekarang!
110,Siapa yang boleh menolong saya mengumpulkan bijih? Datanglah ke bilik pengembaraan saya sekarang!
111,Datanglah ke bilik ciptaan saya sekarang! Inilah banyak keseronokan
112,Datanglah ke bilik ciptaan saya sekarang! Mari berpesta!
113,Selamat datang ke bilik ciptaan saya
114,Bilik ini telah lama menunggu anda! Sila masuk...
115,"Di bilik ciptaan saya ada rumah mewah, cepatlah lihat!"
116,"Bulan purnama, malam ini sangat istimewa"
117,"Bulan sabit, malam ini sangat istimewa"
118,"Saya mempunyai banyak item disini, apa yang anda perlukan? Anda juga boleh pergi ke gurun pasir dan padang salji utk mencari saudaraku"
119,Saya dibesarkan di gurun pasir. Perlu banyak item untuk mengubahnya menjadi tempat yang lebih indah
120,"Saya perlu banyak item di padang salji ini, bolehkah anda membantu saya?"
121,Perkataan tidak sesuai dikesan. Sila tulis semula.
122,Kotak penyimpanan tersedia untuk tuan rumah. Anda tidak boleh dibuka.
123,Masukkan nama baru
124,Perlu dibayar
125,Nama tidak boleh diubah dalam simpanan
126,Tahniah kerana berjaya menukar nama menjadi
127,Pengantian nama gagal. Periksa kembali rangkaian anda dan cuba lagi
128,Item yang dibeli akandisimpan dalam gudang
129,Klik alat pada peta untuk mendapatkan beg galas
130,Alat ini hanya boleh dibuka dan digunakan oleh tuan rumah
131,Pembelian berjaya. Klik gudang untuk periksa
132,Pengambilan item berjaya. Sila periksa beg galas
133,Markah pengembaraan :
134,Anda telah dikeluarkan dari bilik
135,Rangkaian terputus. Tuan rumah telah menutup bilik berbilang pemain
136,Bilik telah ditutup
137,Tidak dapat masuk. Peta rosak atau gagal dimuat turun. Sila buat sandaran sebelum berkongsi.
138,Tahap keaktifan:
139,Pencapaian terbuka:
140,Maklumat
141,Avatar
142,Guna
143,Terbuka
144,Masukan UID Pencipta
145,UID
146,Rangkai yang lemah. Periksa ulang rangkaian dan cuba lagi
147,Pilih kategori
148,Biasa
149,Bagus
150,Cemerlang
151,Tuan rumah sedang di luar talian atau beristirahat...
152,"Harap maaf, sila cuba lagi selepas memuat semula senarai peta"
153,Nama
154,Pemain
155,Jenis
156,Penerangan
157,Kemas kini sekarang
158,"Versi terlalu lama, kemas kini sekarang"
159,Kongsi peta dulu agar dapat dimuat turun ulang
160,Peta ini perlu dimuat turun semula. Muat turun sekarang?
161,"Rangkaian tidak stabil, muat naik/muat turun ditangguhkan, sila periksa rangkain dan cuba lagi"
162,Tiada peta untuk diikuti. Sila periksa peta rakan anda untuk diikuti
163,Data di peta akan gerak ketika pemain memasuki permainan. Sila tunggu..
164,Bilik terakhir yang masuki
165,Anda menipu. Akibatnya teruk.
166,Judul
167,Label
168,Jenis
169,Pengenalan
170,Awam
171,Pribadi
172,Huraian yang ditulis dengan baik dapat menarik lebih banyak\n orang memuat turun peta\n (max 30 patah perkataan)
173,Kemas kini kongsi
174,Halaman saya ikuti
175,Masukan UID
176,Perkongsian saya
177,Kembali
178,"Pasukan ini terlalu malas, tidak ada penerangan"
179,Sila nilai jika anda suka peta ini
180,Sahkan
181,Nama tidak boleh kosong
182,Kemampuan tunggangan
183,Masa menetas
184,Sampul arkib
185,Dapatkan
186,Pengunaan
187,naik taraf
188,Belum ada peta yang anda kongsikan
189,Tidak ada peta yang dikongsi
190,Kedudukan lalai
191,Megesyorkan
192,Penilaian
193,Popular minggu ini
194,Terkini
195,Kedudukan
196,Aktifkan
197,Mematangkan
198,Ganjaran
199,Rakan yang membantu:
200,Tanaman#c0aba1d tumbuh dengan baik#n
201,Tanaman#cffda0a kekurangan air#n
202,Tanaman#cff3d2b sedang layu#n
203,Kemungkinan mendapat:
204,Kiraan matang:
205,(Mempercepatkan)
206,Aktifkan pertumbuhan
207,Kunjungi kebun rakan
208,Papan markah
209,Rakan
210,Peminat
211,Avatar
212,Nama
213,Kekalahan
214,Rakan
215,Tunggangan
216,(Pratonton)
217,Menunggu untuk mencabar lagi
218,"Tukar Akaun, Harap maklum: #r1.Jangan lupa memuat naik fail simpan penting untuk mengelakkan kerugian#r2.Sekiranya anda menemui mesej ralat kata laluan, cuba tukar dan log masuk sekali lagi"
219,"Rangkaian tidak stabil, bilik telah ditutup"
220,Semua pemain akan dikeluarkan semasa bilik ditutup
221,Semua pemain akan dikeluarkan jika tuan rumah keluar
222,Mulakan permainan: 3
223,Mulakan permainan: 2
224,Mulakan permainan: 1
225,Mula!
226,Saya sudah faham
227,Tetapkan semula
228,Berita
229,@sendiri menyerang @lain dengan keras
230,@sendiri menyerang @lain dengan tepat
231,@sendiri membawa @lain ke titik kebangkitan secara baik-baik
232,@sendiri kombo berganda!
233,@sendiri kombo tiga!
234,@sendiri sangat kuat!
235,@sendiri tidak boleh dihentikan!
236,@sendiri menguasai permainan!
237,@sendiri membawa pasukan ke kemenangan!
238,@sendiri! Siapa yang boleh menghentikannya?
239,"@sendiri luar biasa, tidak dapat dipertandingkan!"
240,"@sendiri legenda, hentikan dia!"
241,Kemas kini versi
242,Tidak ada berita
243,@sendiri mengakhiri kombo tiga @lain
244,@sendiri mengakhiri ketajaman @lain!
245,@selndiri mengakhiri keadaan @lain yang tidak dapat dihentikan!
246,@sendiri mengakhiri penguasaan permainan yang @lain!
247,@sendiri mengakhiri @lain dengan cara lain untuk mengatasi tuhan!
248,@sendiri mengakhiri kegilaan @lain
249,"@sendiri mengakhiri @lain, hebat sekali!"
250,@sendiri mengakhiri tindakan @lain yang luar biasa
251,Tunggangan anda siap dipasang sekarang!
252,Tunggangan hanya dapat menetas setelah @num hari dalam permainan
253,Anda tidak boleh duduk pada status semasa
254,Terlalu jauh untuk duduk
255,Pedagang yang mengembara
256,(Ketibaan baru)
257,Selamat datang! Ada apa yang boleh bantu?
258,Pergi
259,Baki:
260,Habis dijual
261,Pedagang yang mengembara
262,Pedagang yang mengembara sudah pergi
263,Rancangan
264,Halo.. Cari apa?
265,@Null@
266,Pengisian semula gagal. Sila cuba lagi nanti.
267,Versi terlalu rendah untuk mengemas kini kulit
268,"Gunakan setelah membuka halaman utama-ilustrasi tanah air saya, aktiviti dan buah tanah air dapat memperoleh fragmen"
269,Tidak dapat menyimpan kerana ruang tidak mencukupi. Kosongkan dan cuba lagi
270,Menang
271,Gagal
272,Seri
273,Kod pengaktifan
274,Kod pengaktifan untuk beg hadiah
275,Diaktifkan!
276,Menuju ke kedai
277,dan klik stor
278,semak ganjaran
279,Sila masukkan kod pengaktifan ganjaran
280,@Null@
281,Kod penebusan!
282,Rangkaian tidak stabil. Periksa kembali dan cuba lagi.
283,Kod pengaktifan telah digunakan. Anda tidak boleh mendapat hadiah berulang kali
284,Kod pengaktifan yang dimasukkan salah
285,Tahniah! Hadiah telah diaktifkan
286,Rangkaian tidak stabil/salah platform/sudah pernah ambil hadiah serupa
287,Tekan lama
288,Klik kotak peralatan yang di bawah
289,Arkib saya
290,Dalam talian
291,Umum
292,Bangunan
293,Mesin
294,Beg galas
295,Alat
296,Tanaman
297,Lainnya
298,Blok
299,Edit
300,Kurang#cfa7a0fpapan#n. Cari kayu untuk buat papan.
301,"Pilih#cfa7a0ficonkotak alat#n, lalu klik tombol#cfa7a0fkanan untuk mulai membuat item"
302,"Bahan yang anda miliki kurang untuk membuat#cfa7a0f, tebang pohon untuk dapat kayu#cfa7a0f"
303,"Pilih #cfa7a0fkayu#n, klik tombol buat pada bahagian kanan"
304,"Selamat datang ke MiniWorld, marilah kita #cfa7a0fmembiasakan diri dengan operasi#n, #cfa7a0fklik#n pada skrin"
305,"#cfa7a0fLeret ke kanan, kiri, atas atau bawah pada skrin#n"
306,"#cfa7a0fgeser#nkayu bedik#cfa7a0untuk gerak#n, cuba berjalan ke hadapan"
307,"#cfa7a0fTekan blok lebih lama#n(tanda panah), untuk#cfa7a0fmenghancurkan blok#n"
308,Bagus! Semua blok dapat didapatkan dan dihancurkan. Klik#cfa7a0f untuk ambil\n hadiah
309,"Ikuti arah panah untuk mencari pohon, #cfa7a0ftekan#n fragmen pohon lebih lama utk dapat#cfa7a0fkayu#n"
310,Bagus! Tebang pohon dan dapatkan kayu lebih cepat dengan menggunakan#cfa7a0fkapak#n
311,Buka#cfa7a0ftas#nsekarang. Guna kayu#cfa7a0f#ndan buat#cfa7a0fkotak alat#n
312,Klik#cfa7a0funtuk buat ikon#n
313,#cfa7a0fKotak alat#nboleh membuat banyak alat yang diperlukan sehari-hari dan untuk melindungi diri
314,Tempatkan#cfa7a0fkotak alat yang baru dibuat di#cfa7a0f. #cfa7a0fbar pintasas#n dan pilih
315,Klik untuk tempatkan#cfa7a0fkotak alat#n
316,#cfa7a0fKlik#nuntuk buka kotak alat (tertunjuk)
317,"Pembuatan item berjaya,guna #cfa7a0fkayu#n untuk membuka batu mineral"
318,"Klik #cfa7a0froti#n(tempatkan pada item pintas), akan muncul#cfa7a0funtuk mengguna tombol#n"
319,#cfa7a0ftekan lama#n kanan #cfa7a0fGuna tombol#n untuk makan roti
320,#cfa7a0ftombol item#nakan muncul saat kamu sudah memilih item di bar pintasan
321,Mari cuba pakai #cfa7a0fhelmet yang anda baru dapat. Buka beg.
322,Klik watak #cfa7a0fKelengkapan#n tag
323,Klik #cfa7a0fhelmet#n
324,"Muncul penerangan dan properti#cfa7a0fhelm#n, klik#cfa7a0ftombol peralatan"
325,Hebat! Senang kan? Mari mengalahkan#cfa7a0fraksasa#n! Klik#cfa7a0fdi sudut kiri atas#nuntuk menutup
326,"Berhati-hati! Ada raksasa yang akan datang! #cfa7a0fLeret ke kanan dan kiri#n, melawan raksasa#cfa7a0fklik#n untuk menyerang raksasa"
327,"Tahniah! Tutorial pemula sudah selesai/n. Masih banyak hal lainnya yang menarik , marilah pengembaraan!"
328,Nama:
329,Misi:#cfa7a0fMengenal kawalan dasar#n
330,Misi:Tebang pohon dan mengumpulkan#cfa7a0fkayu#n
331,Misi:Membuat#cfa7a0fKotak Alat#n
332,Misi:Buat#cfa7a0fbeliung kayu#n
333,Misi:Makan #cfa7a0froti#n
334,Misi:Kalahkan #cfa7a0fraksasa#n
335,Peta ini telah diperbarui. Sila muat turun versi yang terbaru.
336,@Null@
337,@Null@
338,@Null@
339,Pembaikan sistem! Tidak dapat berkongsi peta buat sementara waktu.
340,Perlu beberapa pemain lagi untuk memulai permainan
341,@Null@
342,Kebun belum mencapai level 2. Muat naik peta hanya tersedia untuk pribadi.
343,Akaun dibuat kurang dari 7 hari. Muat naik peta hanya tersedia untuk pribadi.
344,Peta hanya boleh dilihat oleh Anda dan tidak dapat dibagi.
345,"Penulis belum memberi kebenaran untuk memuat turrun, tidak dapat muat turun"
346,@Null@
347,@Null@
348,@Null@
349,Facebook
350,Aktif
351,Nama
352,Penulis
353,Gagal log masuk-beberapa sistem tidak boleh digunakan
354,"Sedang kemas kini, sila menunggu"
355,@Null@
356,@Null@
357,Platform ini tidak boleh digantikan
358,Simbol dalam nama ini tidak sesuai dengan peraturan
359,UID :
360,Masa semasa:
361,Versi terkini:
362,Percuma
363,(Matang)
364,(Dapat 1 buah)
365,(Dapat 10 buah)
366,Anda berada di taman rakan ini
367,@Null@
368,Panggil Tunggangan
369,Hadiah tersimpan dalam stor
370,Buka lagi
371,Buka 10x lagi
372,Kacang Mini
373,Pengalaman
374,Kemahiran
375,Kesan
376,Jumlah kurang. Dapatkan di kebun.
377,Jumlah tidak mencukupi. Anda boleh mendapatkannya melalui buah-buahan di kebun
378,Formula sintetis
379,Sumber fragmen:
380,Proses
381,Sahkan
382,Belum waktunya untuk dapat tunggangan
383,Beli Bunga Api ( Percuma #c1b9e1eKacang Mini#n )
384,"Tanamannya kosong, silakan cuba lihat kebun rakan yang lain"
385,"Kacang Mini kurang, mari beli dulu!"
386,Server sibuk. Sila ulangkan permainan ini semula\
387,Kitar semula semua
388,Kitar semula 1
389,Terbuka
390,Item ini belum terbuka
391,Tidak boleh melahirkan bayi tunggangan di sini
392,Anda dapat tunggangan bayi!
393,Berjaya menyiram. Anda dapat pengalaman @1 dan Kacang Mini @2
394,Berjaya membasmi cacing. Anda dapat pengalaman@1 dan Kacang Mini@2
395,Rumah
396,Tambah Rakan
397,Silakan klik tombol tunggangan pada kiri peta
398,Tanaman anda merasa lebih segar sekarang
399,Klik untuk melihat peraturan Kebun
400,Kacang Mini
401,Buah:
402,Siram:
403,Anda hanya boleh dapat ganjaran saat anda menanam pada kali pertama
404,"Log masuk dan bantu rakan anda menyiram tanaman, tanaman lebih cepat mekar dan lebih mudah mendapatkan kacang mini. Ganjaran perdana #c0aaa1a kacang mini *200 #n"
405,Tunggu tanaman anda untuk mekar. Pakai Kacang Mini untuk mempercepatkan proses pemekaran.
406,"Kunjungi kebun sekerap mungkin, siram tanaman agar lebih cepat mekar. Bantu rakan menyiram juga boleh dapat mini beans dan exp (pengalaman)"
407,Saya sudah faham
408,Fragmen
409,Ganjaran hari ini telah habis
410,Alat ini kurang bagus
411,Rumah dikunci. Minta izin ke tuan rumah dulu!
412,Akses
413,Bebas
414,Pelawat
415,Dapat merosak dan meletakkan blok\n(hak dapat diatur)
416,Tidak dapat merosak dan meletakkan blok\n(hak dapat diatur)
417,Koleksi
418,Penggembaraan
419,Ciptaan
420,Lawan
421,Litar
422,Puzzle
423,Parkour
424,Saiz peta:
425,Muat turun :
426,Versi terlalu rendah. Silakan upgrade.
427,General
428,Tutorial
429,Skip
430,Teruskan
431,Meneruskan ke game
432,Aktifkan
433,Cuba lagi
434,Teruskan muat turun
435,Beli
436,Diaktifkan
437,Saat
438,Ganjaran log masuk
439,Boleh masukan kod worldterrain
440,Komen berjaya dihantar
441,"Pertahanan:@1 , kurangi cedera yang didapat@2%"
442,Tidak ada faedah yang tersedia buat masa ini
443,Tidak dapat dibuka pada saat yang sama
444,[Jumlah markah pertahanan akan dipengaruhi oleh tingkat daya tahan saat ini]
445,[Cedera fizikal termasuk serangan dekat/jauh dan letupan]
446,Adakah anda pasti keluar#c0aaa1a@1#ndari bilik?
447,Keluarkan?
448,Gagal
449,Ulangi cabaran#cffda0a@1#nsaat
450,Tampilkan status
451,Tuan rumah melarang item ini
452,Bintang telah berjaya ditukar
453,Koin Mini kurang. Adakah anda ingin mengguna#c0aaa1a@1Koin untuk membeli@2Koin mini?
454,US$
455,Koin mini
456,Koin tidak cukup
457,US$
458,Pembelian berjaya. Periksa bunga api dan kacang mini di gudang anda
459,Milik:
460,Tebus
461,Pengembaraan di alam liar
462,Imaginasi sesuka hati
463,Setting Lanjutan
464,Hm.. pengembaraan agak bahaya...
465,Makhluk yang tidak diketahui
466,Anda masih perlu #c0aaa1abintang@1#n. Adakah anda pasti mengguna#cfa7a0fKoin@2#n untuk menambahkan jumlah bintang?
467,Guna?
468,Tambah?
469,Bintang anda kurang
470,Bangkit
471,Tinggalkan alat yang anda bawa dan kembali ke titik bangkit
472,Kembali
473,#c5aea0a1 ☆Bangkit kembali dititik bangkit tidak menyebabkan item hilang#n
474,Simpan item
475,Item utama
476,Item sekunder
477,Gabungan
478,Hiasan ini akan mengubah properti menjadi Level@1
479,Level
480,"Lebih dari 5 properti, klik hiasan untuk pilih"
481,Terdapat masalah pada properti ini
482,Pilih
483,Properti
484,Hanya boleh pilih properti setelah digabungkan. Sila pilih :
485,Sila pilih :
486,Sila pilih@1properti
487,Dapat@1@2
488,@Null@
489,"Letakkan item diatasnya, item akan otomatis dileburkan"
490,Ambil item yang sudah dileburkan
491,Tahniah! Tutorial pemula selesai.
492,Ambil
493,New /Baru
494,Lv tertinggi
495,Tidak dapat ambil 10x berturut-turut tanpa buah emas
496,Bintang Api
497,Monumen Sisik Naga
498,Batalkan kegemaran
499,Berjaya ditambahkan ke kegemaran
500,@1telah diusirkan dari bilik
501,Usir dari bilik
502,Kali
503,Boleh naik taraf
504,Peta ini telah anda muat turun
505,Masukan UID rakanmu
506,Gagal berhubung ke room server
507,Klik tombol di sebelah kanan untuk menghapus arkib
508,Downloading /Memuat turun:
509,Menunggu
510,Muat turun jeda
511,Login terakhir /log masuk terakhir
512,Tidak pernah
513,Semalam
514,hari yang lalu
515,Perkongsian peta ini telah dibatalkan
516,login/log masuk
517,Tulis catatan untuk peta
518,Jelajah dunia
519,Penciptaan dunia
520,Masuk
521,Batalkan Mengesan
522,Peta yang dikongsi dengan rakan
523,Kongsi peta ini untuk mendapat
524,Lalai
525,Akaun ini tidak tersedia
526,Akaun ini telah disekat
527,Nama ini sudah ada
528,No. versi
529,Hari pembuatan
530,Bertahan:
531,Waktu:
532,Tanda:
533,Ketinggian:
534,Kredit sedang diproses
535,Ambil
536,(Penuh)
537,(Habis dijual)
538,Dijual
539,Tukar
540,Pembelian berjaya. Sila memperbarui.
541,Item ini telah dijual habis. Sila tetapkan semula.
542,Kejayaan
543,Tukar
544,Anda tidak mempunyai item yang cukup untuk ditukar
545,Pembelian berjaya
546,Item sudah ditetapkan semula. Sila pilih
547,Set Semula
548,Pakai
549,Rak item
550,Perlu
551,Penjejakan tugas
552,@1berjaya diperbaiki!
553,Letakkan item yang ingin diperbaiki
554,Letakkan alat untuk diperbaiki
555,Bintang anda kurang
556,Tidak perlu perbaiki
557,Ketahanan :
558,Jam
559,Saat
560,Masa pendinginan telur
561,Tunggangan anda sedang tidur. Panggil dia setelah @1 saat
562,@Null@
563,Anda tidak mempunyai peta apapun. Buat peta dulu untuk membuat room.
564,Anda belum menyimpan peta apapun di kegemaran
565,Had sudah dicapai. Sila memperbarui.
566,Bilik penuh
567,Kata laluan salah
568,Bilik telah ditutup
569,Tiada bilik
570,Internet :
571,Versi terkini :
572,Versi pemain dan versi bilik ini tidak sesuai
573,Sambungan gagal
574,Masukan UID tuan rumah
575,Klik untuk memulai kreasi
576,Tiada bilik
577,Keputusan Carian
578,Tukar
579,Pilih peta
580,Tambahkan tag
581,Kata laluan bilik
582,Masukan ID bilik
583,Gagal mencipta watak. Sila periksa rangkaian anda
584,Tetapan Asas
585,Tetapan kawalan
586,Tetapan lanjutan
587,Asas
588,Kawalan
589,Kemahiran
590,Nama
591,Kecerahan
592,Sembunyikan U1
593,Mod tenang
594,Musik
595,Kesan bunyi
596,Volume
597,Kepekaan
598,Y-Axis
599,Mod kiri
600,Crosshair; Mod Quasicentric
601,Lompatan automatik
602,Getaran
603,Lebih banyak permainan
604,Penambahan berjaya
605,Perlukan#c0aaa1a@2×@3untuk mendapatkan tunggangan@1. Kamu juga boleh guna#cfa7a0fKoin#nuntuk meneruskan.
606,Tunggangan masih diperlukan :
607,Anda boleh menggunakan :
608,Lengkapi :
609,Kekurangan alat
610,Beli Koin?
611,Kekal
612,Masa yang tinggal:#cfa7a0f@1#nhari#cfa7a0f@2#njam#cfa7a0f@3#nminit
613,Penambahan gagal. Periksa semula rangkaian dan cuba lagi
614,Batalkan
615,@1berjaya digunakan
616,Aktif Kemahiran
617,Skill /kemahiran naik taraf
618,Aktif kemahiran
619,Skill /kemahiran naik taraf
620,Diguna
621,Perlukan#c0aaa1a@1×@2#n untuk mengaktifkan kemahiran ini. Kamu juga boleh mengguna#cfa7a0fKoin untuk meneruskan.
622,Perlukan#c0aaa1a@1×@2#nuntuk naik taraf kemahiran ini. Kamu juga boleh guna#cfa7a0f untuk meneruskan.
623,Masih perlu:
624,Pengalaman masa terhad: baki#cfa7a0f@1#nhari#cfa7a0f@2#njam#cfa7a0f@3#nminit
625,"Untuk buka kunci watak ini, anda juga memerlukan#c0aaa1a@1×@2#n, dan anda juga boleh menggunakan#cfa7a0fKoin Mini#n untuk menyelesaikannya. (Hiburan dan penggunaan rasional yang sesuai)"
626,Diskaun
627,Pembelian berjaya
628,Adakah anda pasti mengekstrak#cfa7a0f@1#nke beg galas yang diarkibkan sekarang?
629,Kemas kini Diperlukan
630,Tahniah! @1telah terbuka
631,"Rangkaian salah, tidak dapat dicas semula"
632,Tunggangan baru terbuka:
633,Naik taraf tunggangan
634,Kekal
635,@1Kulit telah meningkat masa penggunaan@2hari!
636,Kemas kini Diperlukan
637,Telah diaktifkan
638,Buka Kunci
639,Beli
640,Tempat
641,Stor
642,Pengeluaran
643,Lepas
644,Nama lalai
645,Tidak ada pelindung yang mencukupi untuk membuka kunci
646,Lihat butiran di kedai
647,Telah disimpan dalam beg talas
648,Misi Tercapai!
649,Dapat alat peraga!
650,Dapat@1x@2
651,Pindah@1@2
652,Buang@1×@2
653,Ganjaran koleksi
654,Maklum balas
655,Maklum balas
656,Masukkan maklum balas anda di sini. Untuk maklum balas lain boleh mengirim e-mel ke: miniwantech@gmail.com
657,QQ:
658,Nombor telefon:
659,(Masukkan nombor QQ anda)
660,(Masukkan nombor telefon)
661,Hantar
662,Had penghantaran cadangan tercapai hari ini
663,Masukkan maklum balas sebelum menghantarnya
664,Maklum balas berjaya dihantar
665,Terlalu banyak pemain yang menghantar maklum balas sekarang. Sila cuba sebentar lagi
666,(Terkunci)
667,Buka kunci:
668,Kitar semula fragmen
669,Kitar semula
670,Lebih banyak #c0aaa1a@1×@2#n diperlukan untuk membuka kunci item ini. Anda juga boleh menggunakan #cfa7a0f@3#n untuk mengatasi perbezaannya
671,Ganjaran berjaya diterima
672,Peraturan
673,Mod permainan
674,Peta -
675,Buat Tetapan Peta
676,Lalai
677,Panjang
678,Saiz: (1 blok panjang = 16 blok)
679,Lebar
680,Tanpa had
681,Medan:
682,Lalai
683,Rata
684,Pulau
685,Buat peta
686,Bentuk tanah:
687,Rumput
688,Gurun
689,Hutan
690,Kutub
691,Lautan
692,Tebing
693,Hutan Pinus
694,Kawasan hutan
695,Raksasa bertelur
696,Haiwan
697,Raksasa
698,Bentuk tanah ini tidak tersedia di kawasan ini
699,Masukkan kod
700,Tuan rumah#cfa7a0fkeluar#n@1#cfa7a0fdari bilik#n
701,#cfa7a0fdikeluarkan dari bilik#n
702,Perlukan lebih banyak@ItemNama
703,Memerlukan lebih banyak barang pengganti
704,Mod Kreasi permainan
705,Tetapan asas
706,Pulihka\nLalai
707,Sahkan simpan
708,Masa
709,Gagal membayar!
710,Sila masukkan nilai angka!
711,Pasukan
712,Markah
713,Pasukan Merah
714,Pasukan Biru
715,Pasukan Hijau
716,Pasukan Ungu
717,Pasukan Kuning
718,Pasukan Jingga
719,Mod Main
720,Mod Edit
721,"Kredit gagal, pilih kaedah lain untuk kredit"
722,Pengisian semula sedang diproses. Sila tunggu sebentar!
723,Kredit pertolongan
724,Sila periksa sambungan rangkaian anda. Memperbarui beberapa kali dapat menyelesaikan masalah.
725,Sila kemas kini ke versi terkini
