id,阿拉伯语
162,"لم تقم بمتابعة اي خريطة حتى الان, تفحص ما يقوم اصدقائك بمشاركته"
163,سوف يتم تحويل بيانات الملفات عند الدخول الى اللعبة. قد تحتاج إلى بعض الوقت. من فضلك انتظر ولا تترك اللعبة.
164,الغرفة التي قمت بدخولها المرة السابقة
165,هذا غشّ. ستكون النتائج وخيمة.
166,العنوان
167,العلامة
168,النوع
169,التعريف
170,عامّ
171,خاص
172,يمكن لتعريف متميّز للخريطة أن يجذب انتباه المزيد\n من الأشخاص لتحميلها\n (يمكنك الوصول إلى 60 حرفًا)
173,تحديث المشاركة
174,متابعاتي
175,قم بإدخال معرف المستخدم الفريد
176,مشاركاتي
177,الرجوع
178,"هذا اللاعب كسول جداً, لم يترك أي تعريف"
179,"اذا أعجبتك هذه الخريطة فعلا, من فضلك قم بتقييمها!"
180,تأكيد
181,لا يمكن ترك اسم الملف فارغا
182,قدرة المطيّة
183,مدة التفريخ
184,لمحة
185,الحصول على
186,الاستخدام
187,التحديث
188,لم تقم بمشاركة أي ملفات
189,لم يقم هذا اللاعب بمشاركة اي خريطة
190,الترتيب الافتراضي
191,مرشح
192,التقييم
193,المواضيع الساخنة لهذا الاسبوع
194,الاحدث
195,الترتيب
196,بدء النمو/التفعيل
197,تسريع عملية النضج
198,الحصاد
199,الاصدقاء الذين قاموا بمساعدتك:
200,إنّ النبات #c0aba1dينمو جيّدًا#n
201,النباتات في حالة #a0adffcعطشى#n
202,النباتات في حالة #b2d3ffcذبل#n
203,يمكن الحصول على:
204,العد التنازلي:
205,(التسريع )
206,بدء النمو/التفعيل
207,زيارة منزل صديق
208,لوحة النقاط
209,الاصدقاء
210,المعجبين
211,أفاتار
212,الاسم
213,الهزائم
214,صديق
215,الركوب
216,(المعاينة)
217,انتظار استعادة الحياه
218,استبدال الحساب، انتبه من فضلك: #rأوّلا، لا تنسى تحميل الملفات الهامة لتجنب الخسائر. #rثانيًا، إذا صادفت رسالة تشير الى خطأ في كلمة السر، حاول استبدال الحساب وتسجيل الدخول مرة أخرى
219,الغرفة مغلقة نظراً لعدم استقرار الاتصال بالانترنت
220,إغلاق غرفة اللعب سيتسبب باستبعاد جميع الاعبين
221,الخروج من اللعبة سيتسبب باستبعاد جميع اللاعبين
222,بدء اللعب: 3
223,بدء اللعب: 2
224,بدء اللعب: 1
225,ابدأ !
226,فهمت
227,افتراضي
228,أخبار
229,قام @self بضربة قوية لوجه @other
230,هجوم @self أصاب @other بدقة
231,قام @self بارسال @other الى نقطة استعادة الحياة
232,قام @self بالتسديد مرتين
233,قام @self بالضرب المتواصل 3 مرات
234,إنّ @self حادّ جدًا!
235,لا يمكن ايقاف @self!
236,يسيطر  self@ علي هذه المعركة
237,يقوم @self بحمل الفريق إلى الفوز!
238,لقد جنّ جنون @self! من يمكنه ايقاف ذلك؟
239,إنّ @self كالآلهة!
240,إنّ @self تخطى الآلهة! هل يمكن لأحد ايقاف ذلك؟
241,تم تحديث النسخة
242,لا يوجد اشعارات الان!!
243,قام @self بالقضاء على @other بثلاث ضربات متتالية!
244,قام @self بالقضاء على حدّة @other!
245,قام @self بالقضاء على حالة @other التي لا يمكن ايقافها!
246,قام @self بانهاء سيطرة @other على اللعبة!
247,قام @self بالقضاء على طرق @other لتخطي الآلهة!
248,قام @other بالقضاء على جنون @other
249,يقوم @self بإنهاء حالة @other المشابهة بالآلهة!
250,يقوم @self بالقضاء على حالة @other المتخطّية للآلهة!
251,إنّ امتطائك الحاليّ جاهز لاستدعاء مطيّة فاخرة الآن!
252,لا يمكن تفريغ المطيّة الفاخرة إلاّ بعد @num عدّة أيام في اللعبة
253,لا يمكنك الجلوس في الوضع الحالي
254,المسافة بعيدة جداً لا يمكنك الجلوس
255,تاجر متجول
256,( واصلون جدد)
257,أهلا! كيف يمكنني مساعدتك؟\n
258,المغادرة
259,المتبقي:
260,تم بيعها
261,تاجر متجول
262,لقد غادر التاجر المتجول
263,برنامج العمل
264,أووه أوووه، ماذا تريد؟
265,@Null@
266,أخفقت عملية الشراء يرجى المحاولة لاحقًا
267,الإصدار ضعيف للغاية، لا يمكن تحديث الملابس
268,إحصل على الشظايا في القائمة الأساسيّة أو الإحتفالات. يمكن استخدامها بعد فتحها في تجميع-المنزل.
269,لا يوجد مساحة كافية لحفظ الملف. الرجاء القيام بالمسح ثمّ المحاولة من جديد
270,النصر
271,الهزيمة
272,التعادل
273,كود التفعيل
274,كود تفعيل حقيبة الهدايا
275,تم التفعيل!
276,تنبيه: اذهب للمتجر بعد تفعيل حقيبة الهدايا
277,ثم الى المخزن للتأكد
278,بعد التفعيل
279,من فضلك ادخل كود التفعيل لاسترداد حقيبة الهدايا
280,@Null@
281,استرجع الكودات!
282,شبكة الانترنت غير مستقرّة. يرجى بالتأكد من الإتّصال بالانترنت
283,استخدمت كود التفعيل. لا يمكن الحصول على الهدايا بصورة متكرّرة
284,كود التفعيل الذي ادخلته غير صحيح
285,تهانينا لك لتفعيل حقيبة الهدايا
286,شبكة الانترنت غير مستقرّة/ المنصّة غير صحيحة/ تمّ الحصول على نفس حقيبة الهدايا
287,الضغط المطول
288,النقر على الارض لوضع صندوق الادوات
289,الخرائط الخاصة بي
290,متصل
291,شائع
292,مباني
293,آلي
294,حقيبة
295,معدات
296,محاصيل
297,مخلفات
298,مربعات
299,تعديل
300,#cfa7a0fألواح#n غير كافية . اجمع بعض الخشب لعمل بعض الألواح
301,اضغط على زر #cfa7a0fصندوق المعدات#n من ثم اضغط على زر #cfa7a0fاصنع#n على اليمين
302,ينقصك المواد المطلوبة لصنع #cfa7a0fفأس خشبي#n. قم بتقطيع أشجار لحصول على المزيد من #cfa7a0fخشب#n
303,قم باختيار #cfa7a0fالفأس الخشبي#n٫ من ثم اضغط على زر #cfa7a0fصنع#n على اليمين
304,أهلا بك في ميني وورلد. فلنقم cfa7a0f#ببدء مغامرتناn# أوّلا. قم #cfa7a0fبضغط n# الشاشة للبدء
305,يمكنك #cfa7a0fسحب الشاشة#n الى اليمين او اليسار لمواجهة الجهة الأماميّة
306,يمكنك #cfa7a0fسحب#n لتحريك صورة العصا cfa7a0f##للتحرك n#. حاول التقدّم الى الامام
307,قم #cfa7a0fبالضغط مطوّلاً على المكعّب#n (إتبع السهم) لبدء #cfa7a0fتحطيم المكعّب#n
308,"ممتاز, جميع المربعات يمكن تحطيمها وتجميعها, من فضلك اضغط cfa7a0f##للحصول علي n#المكافأت"
309,اتبع السهام لتجد الاشجار .cfa7a0f##قم بالضغط المطوّل#n على كتل الاشجار (الاصبع) للحصول علي #cfa7a0fالخشب#n
310,ممتاز. استخدم الفأس لقطع الاشجار لتتمكن من #cfa7a0fجمع الخشب#n بشكل أسرع
311,قم بفتح #cfa7a0fحقيبة الظهر#n الآن واصنع #cfa7a0fصندوق أدوات#n مستخدمًا #cfa7a0fالألواح الخشبيّة#n
312,اضغط على #cfa7a0fلصنع#n علامة
313,يمكن #cfa7a0fلصندوق الأدوات#n أن يساعدك في صنع الكثير من العناصر المتطوّرة. إنّ ذلك أساسيّ لمغامراتك
314,ضع #cfa7a0fصندوق الادوات#n الجديد في #cfa7a0fشريط الاختصارات#n وقم باختياره.
315,اضغط علي الارض لوضع #cfa7a0fصندوق الادوات#n
316,قم #cfa7a0fبضغط#n لفتح صندوق الادوات (الاصبع)
317,تم صنع القطع بنجاح. استخدام #cfa7a0fالفأس الخشبي#n في اللعبة لتجميع المعادن الأقلّ أهميّة.
318,اضغط علي #cfa7a0fالخبز#n(وضعه في شريط الاختصارات)، سوف يظهر #cfa7a0fزرّ الاستخدام#n
319,إنّ #cfa7a0fالضغط المطول#n على #cfa7a0fزر الاستخدام#n الى اليمين لتأكل الخبز
320,يظهر #cfa7a0fاستخدام الزر#n فقط عند تحديد العناصر القابلة للاستخدام في شريط اختصار العناصر
321,لنتعلّم كيفيّة ارتداء #cfa7a0fالخوذة#n التي حصلت عليها للتوّ. افتح حقيبة الظهر أوّلاً
322,اضغط علي علامة #cfa7a0fالمعدات#n
323,اضغط على #cfa7a0fالخوذة#n لارتدائها
324,سوف يظهر تعريف ومواصفات #cfa7a0fالخوذة#n هنا. اضغط على زرّ #cfa7a0fالمعدات#n
325,ممتاز! فلنحارب بعض #cfa7a0fالوحوش#n! اضغط على زاوية الركن اليسار #cfa7a0fضرب#n لاغلاق القائمة
326,"انتبه! هناك وحش قادم باتجاهك, قم #cfa7a0fبسحب الشاشة#n الى اليمين أو اليسار للمواجهة الوحش. #cfa7a0fإضغط#n على الوحش لبدء الهجوم."
327,تهانينا لك للانتهاء من التدريب الخاص باللاعبين الجدد \n هناك العديد من المغامرات بانتظارك! دعنا نبدأ!
328,قم بانشاء اسم:
329,المهمة الحالية : #cfa7a0fالتعرّف علي كيفية استخدام اللعبة#n
330,اقطع الأشجار واجمع #cfa7a0fالخشب#n
331,اصنع #cfa7a0fصندوق أدوات#n
332,اصنع #cfa7a0fفأس خشبيّ#n
333,تناول بعض #cfa7a0fالخبز#n
334,اهزم #cfa7a0fوحشًا#n
335,تم تحديث هذه الخريطة. من فضلك قم بتحميل النسخة الحديثة
336,@Null@
337,@Null@
338,@Null@
339,صيانة النظام! لا يمكن مشاركة الخرائط بشكل مؤقت.
340,"لا يوجد عدد كاف من اللاعبين, لا يمكن بدء اللعبه"
341,@Null@
342,لم يصل مستوى المنزل إلى 2. مشاركة الخريطة مرئية لك فقط.
343,تم إنشاء الحساب في أقل من 7 أيام. مشاركة الخريطة مرئية لك فقط.
344,الخريطة مرئية لك فقط. لا يمكن مشاركتها.
345,لم يفتح المؤلف إذن التحميل، لذلك لا يمكنه التحميل
346,@Null@
347,@Null@
348,@Null@
349,فيسبوك
350,النشاط
351,الاسم
352,المؤلف
353,"لم يتم تسجيل الدخول بنجاح, هناك جزء من الخصائص لا يمكن استخدامه"
354,جاري التحديث، انتظر من فضلك
355,@Null@
356,@Null@
357,لا يمكن التحول بين المنصات
358,علامات الترقيم بالاسم غير مطابقة للقوانين
359,رقم الحساب:
360,الوقت الحالي:
361,النسخة الحالية:
362,مجاناً
363,(نضج)
364,(الحصول علي 1)
365,(إحصل على 10)
366,انت بالفعل في حديقة هذا الصديق!
367,@Null@
368,نداء الركوب
369,الحصول على المكافآت
370,إفتح مرّة أخرى
371,قم بالفتح 10 مرات أخرى
372,الفاصوليا الصغيرة
373,الخبرة
374,مهارات الشخصية:
375,تأثيرات:
376,"العدد غير كافي, يمكن الحصول على المزيد من خلال فاكهة الحديقة"
377,"العدد غير كافي , يمكن الحصول عليه من خلال فاكهة الحديقة"
378,وصفات حرفية
379,مصدر القطع:
380,عملية الفتح:
381,تأكيد
382,لم يحن موعد الركوب بعد
383,الألعاب النارية (مجانًا #c1b9e1e الفاصولياء الصغيرة#n كمكافأة)
384,"لم يقم هذا الصديق بزراعة النباتات, فلتتفقد حديقة احد الاصدقاء الاخرين"
385,"الفاصولياء الصغيرة غير كافية, قم بالشراء!"
386,الشبكة مشغولة. من فضلك قم باعادة تشغيل اللعبة وحاول مرة أخرى
387,اعادة تدوير الكل
388,استعادة 1
389,تم الفتح
390,يمكن استخدامها في المنزل بعد فتح القفل والحصول على فتات من الأحداث أو فاكهة الحديقة
391,لا يمكنك استدعاء مطيّة فاخرة هنا!
392,تمّ الحصول على مطيّة فاخرة بنجاح
393,تم السقي بنجاح. حصلت على نقاط للخبرة * @1 وفاصولياء صغيرة * @2
394,تم القبض على الحشرات بنجاح. حصلت على نقاط للخبرة * @1 و فاصولياء صغيرة * @2
395,حديقة
396,قم باضافة بعض الاصدقاء الان
397,من فضلك قم بالذهاب الي الملفات واضغط علي زر استخدام الركوب الموجود علي يمين الواجهه
398,حالة النباتات الخاصة بك تبدو جيدة جداً
399,انقر لعرض قواعد فاكهة الحديقة
400,الفاصولياء الصغيرة:
401,الفاكهه :
402,السقي:
403,لا تحصل على مكافأة إلا عندما تتبنى نبتة للمرة الأولى!
404,"قم بتسجيل الدخول وساعد أصدقاءك لسقي النباتات, سيكون لديك الفرصة للحصول على الفاصولياء الصغيرة عندما تنضج الفاكهة. إنّ تبنيك لنبتة للمرّة الأولى يسمح لك بالحصول على #c0aaa1aالفاصولياء الصغيرة ضرب 200#n"
405,"انتظر الفاكهة لكي تنضج بشكل طبيعي, او قم باستخدام الفاصوليا لتجعلها تنضج في الحال . بعدما تنضج الفاكهة يمكنك استخدامها لفتح المطيّات/الشخصيات/الجلود والكتل."
406,قم بسقي النباتات وسوف تنمو بشكل اسرع .ساعد اصدقائك لسقي النباتات وسوف يكون لك فرصة للحصول علي نقاط للخبرة والفاصولياء الصغيرة أيضًا.
407,فهمت
408,اظهار الفتات
409,لقد وصل عدد المكافأت التي يمكن الحصول عليها اليوم الى اقصاه
410,اداة غير مناسبة
411,"قام صاحب المنزل بوضع رمز للحماية, يمكن للزائرين طلب اذن الزيارة من صاحب المنزل"
412,اذن وصول
413,بشكل حر
414,زائر
415,يمكن تحطيم وتحريك الكتل/n (قد يبطل مفعولها في اللعبة)
416,لا يمكن تحطيم او تحريك الكتل/n (يمكن السماح لاستخدامها في اللعبة)
417,جمع
418,نجاة
419,انشاء
420,معركة
421,دائري
422,لغز
423,باركور
424,حجم الخريطة:
425,عدد التحميل:
426,"لقد اصبحت نسختك قديمة جداً, من فضلك قم بالتحديث"
427,عام
428,درس تعليمي
429,تخطي
430,استمرار
431,استمرار اللعب
432,تفعيل
433,اعادة المحاولة
434,استمرار التحميل
435,شراء
436,تفعيل
437,ثواني
438,مكافأة تسجيل الدخول
439,يمكن إدخال رمز التضاريس العالمية
440,تم التعليق بنجاح
441,دفاع الاشتباك: @1 ، يقلل من أضرار الاشتباك والانفجار بنسبة @2%
442,لا توجد اي مكافأت للحصول عليها الان
443,لا يمكن فتح هذا الاصدار بشكل مزدوج
444,[ستتأثر النقاط الدفاعية بنسبة المتانة الحالية]
445,[يشمل الضرر المادي الاشتباك /الضربة طويلة المدى /الانفجار]
446,طرد #c0aaa1a@1#n من الغرفة؟
447,طرد من الغرفة ؟
448,لم يتم الطرد بنجاح!
449,استعادة الحياه خلال #c0aaa1a@1#n ثوانٍ
450,اظهار الحالة
451,قام المضيف بتعطيل هذا العنصر
452,لقد قمت بتبديل النجوم بنجاح
453,عملات صغيرة غير كافية. قم بشراء #cfa7a0f@2 عملات نقدية صغيرة#n بواسطة #c0aaa1a$@1?#n
454,دولار امريكي
455,عملات صغيرة
456,العملات لا تكفي
457,دولار امريكي
458,تم الشراء بنجاح، وتم وضع الألعاب النارية السعيدة في المستودع، وتم منح الفاصولياء الصغيرة كهدية
459,بحوزتك:
460,تبديل:
461,النجاة في البرية، ستكشاف العالم المجهول
462,"هناك موارد غير محدودة, يمكنك انشاء كل ما تريد"
463,اعدادات متقدّمة
464,"اووه , مغامرات البرية دائماً ما تكون خطيرة نوعاً ما..."
465,مخلوقات غير معروفة
466,ما زلت بحاجة إلى  #c0aaa1a@1 نجمة#n. هل تريد إنفاق #cfa7a0f@2 عملات نقدية صغيرة #n لتعويض الفرق؟
467,هل تريد الاستخدام
468,للتعويض؟
469,النجوم غير كافية:
470,استعادة الحياة
471,قم بإسقاط القطع والعودة إلى الوضع الأولي عند نقطة العودة
472,استمر في الاستكشاف
473,قم #c5aea0a1☆باستعادة الحياة في الحال بدون خسارة العناصر#n
474,ضع القطع في
475,القطع الرئيسية
476,القطع الثانوية
477,انصهار
478,سوف يرفع السحر من مستوى هذه الخاصية الى المستوى 1@
479,مستوى
480,"اكثر من 5 مهارات , اضغط علي السحر للاختيار"
481,تتعارض هذه الخاصية مع غيرها
482,اختر
483,خصائص
484,"يمكن الاحتفاظ بخاصية واحدة@1 علي الاكثر بعد الندماج, من فضلك قم بالاختيار:"
485,"الخصائص, من فضلك قم بالتحديد:"
486,الرجاء تحديد1@كافة الخصائص
487,احصل على 1@2@
488,@Null@
489,ضع العناصر لبدء الصهر
490,من فضلك قم بإخراج المواد التي تم صهرها
491,تهانينا لك للانتهاء من التدريب الخاص باللاعبين الجدد
492,احصل على
493,جديد
494,اعلى مستوى
495,لا يمكن إجراء 10 سحوبات متتالية بدون الفاكهة الذهبية
496,عالم باطن الأرض
497,نصب التنين التذكاري
498,إزالته من قائمة المفضلة
499,تم اضافته إلى قائمة المفضلة لديك بنجاح
500,لقد تم طرد @1 من الغرفة
501,الطرد من الغرفة
502,عدد المرّات
503,قابل للتحديث
504,لقد قمت بتحميل هذا الملف بالفعل
505,قم بادخال الرقم التعريفي لحساب الطرف الأخر
506,فشل في الاتصال بالشبكة الخاصة بالغرفة
507,(انقر فوق الزر الموجود على اليمين لفتح القائمة لحذف الأرشيف)
508,جاري التحميل الآن:
509,انتظر ليبدأ التحميل:
510,وقف التحميل:
511,آخر تسجيل دخول
512,لم يقم بتسجيل الدخول من قبل
513,امس
514,منذ بضعة أيام
515,تم إلغاء تحميل هذا الملف
516,تم تسجيل الدخول
517,ادخل ملاحظات الخريطة
518,استكشاف العالم
519,انشاء العالم
520,الدخول
521,الغاء المتابعه
522,مشاركة الخرائط مع الاصدقاء
523,شارك هذه الخريطة لتحصل على
524,افتراضي
525,الحساب غير موجود
526,تم تجميد الحساب
527,اسم الحساب مكرر
528,رقم النسخة
529,عدد أيام الانشاء
530,عدد ايام النجاة
531,المدة:
532,الاحداثيات:
533,الارتفاع:
534,جاري الشراء
535,استلام
536,(تم الاستلام بالكامل)
537,(تم البيع بالكامل)
538,بيع
539,تبديل
540,"لقد قمت بشراء البضائع بالكامل, من فضلك قم بالتحديث"
541,"لقد قمت ببيع البضائع بالكامل, من فضلك قم بالتحديث"
542,نجاح
543,تبديل
544,ليس بحوزتك قطعا كافية لاستبدالها
545,تم الشراء بنجاح
546,"تم تحديث البضائع بالكامل, من فضلك قم بالاختيار"
547,تحديث
548,انفاق
549,رفّ
550,ينقصك
551,تتبع المهام
552,تمّ اصلاح @1 بنجاح!
553,من فضلك قم بوضع القطع التي ترغب باصلاحها
554,من فضلك قم بوضع مواد الاصلاح
555,لا تمتلك عددا كافيا من النجوم
556,لا تحتاج الي اصلاح
557,درجة التحمل:
558,ساعات
559,ثواني
